Year,Cumulative ice mass change (Gt),Cumulative ice mass change uncertainty (Gt),Cumulative sea level contribution (mm),Cumulative sea level contribution uncertainty (mm),,
1992.00,4.41,25.01,-0.01,0.07,,
1992.08,11.48,42.70,-0.03,0.12,,
1992.17,19.65,57.15,-0.05,0.16,,
1992.25,26.52,69.65,-0.07,0.19,,
1992.33,37.82,80.84,-0.11,0.22,,
1992.42,47.60,90.72,-0.13,0.25,,
1992.50,60.73,99.86,-0.17,0.28,,
1992.58,77.75,108.41,-0.22,0.30,,
1992.67,96.13,116.47,-0.27,0.32,,
1992.75,112.91,124.11,-0.31,0.34,,
1992.83,122.69,131.39,-0.34,0.36,,
1992.92,133.12,138.35,-0.37,0.38,,
1993.00,142.62,143.27,-0.40,0.40,,
1993.08,150.49,147.99,-0.42,0.41,,
1993.17,161.83,152.54,-0.45,0.42,,
1993.25,172.60,156.94,-0.48,0.44,,
1993.33,181.63,161.20,-0.50,0.45,,
1993.42,184.68,165.33,-0.51,0.46,,
1993.50,186.62,169.37,-0.52,0.47,,
1993.58,187.66,173.31,-0.52,0.48,,
1993.67,189.64,177.16,-0.53,0.49,,
1993.75,198.34,180.92,-0.55,0.50,,
1993.83,205.57,184.60,-0.57,0.51,,
1993.92,210.48,188.22,-0.58,0.52,,
1994.00,211.58,191.77,-0.59,0.53,,
1994.08,208.12,195.26,-0.58,0.54,,
1994.17,204.02,198.68,-0.57,0.55,,
1994.25,197.36,202.05,-0.55,0.56,,
1994.33,189.14,205.36,-0.53,0.57,,
1994.42,179.74,208.61,-0.50,0.58,,
1994.50,169.91,211.82,-0.47,0.59,,
1994.58,160.37,214.98,-0.45,0.60,,
1994.67,151.30,218.09,-0.42,0.61,,
1994.75,140.33,221.16,-0.39,0.61,,
1994.83,128.64,224.19,-0.36,0.62,,
1994.92,115.74,227.17,-0.32,0.63,,
1995.00,102.35,230.12,-0.28,0.64,,
1995.08,88.82,233.04,-0.25,0.65,,
1995.17,75.97,235.91,-0.21,0.66,,
1995.25,61.32,238.76,-0.17,0.66,,
1995.33,45.50,241.57,-0.13,0.67,,
1995.42,26.76,244.35,-0.07,0.68,,
1995.50,4.34,247.13,-0.01,0.69,,
1995.58,-19.77,249.86,0.05,0.69,,
1995.67,-38.70,252.53,0.11,0.70,,
1995.75,-46.98,255.15,0.13,0.71,,
1995.83,-47.50,257.74,0.13,0.72,,
1995.92,-44.90,260.31,0.12,0.72,,
1996.00,-44.18,262.86,0.12,0.73,,
1996.08,-46.93,265.34,0.13,0.74,,
1996.17,-53.32,267.77,0.15,0.74,,
1996.25,-58.84,270.20,0.16,0.75,,
1996.33,-64.04,272.63,0.18,0.76,,
1996.42,-76.31,275.04,0.21,0.76,,
1996.50,-98.24,277.49,0.27,0.77,,
1996.58,-113.91,279.97,0.32,0.78,,
1996.67,-116.44,282.42,0.32,0.78,,
1996.75,-115.99,284.83,0.32,0.79,,
1996.83,-116.35,287.23,0.32,0.80,,
1996.92,-116.33,289.59,0.32,0.80,,
