Year,Cumulative ice mass change (Gt),Cumulative ice mass change uncertainty (Gt),Cumulative sea level contribution (mm),Cumulative sea level contribution uncertainty (mm)
1992.00,4.41,7.22,-0.01,0.02
1992.08,11.48,50.03,-0.03,0.14
1992.17,19.65,53.06,-0.05,0.15
1992.25,10.59,59.02,-0.03,0.16
1992.33,9.46,65.01,-0.03,0.18
1992.42,7.56,70.58,-0.02,0.20
1992.50,7.33,75.78,-0.02,0.21
1992.58,9.06,80.66,-0.03,0.22
1992.67,11.46,85.28,-0.03,0.24
1992.75,13.06,89.66,-0.04,0.25
1992.83,12.13,94.05,-0.03,0.26
1992.92,13.42,98.58,-0.04,0.27
1993.00,16.38,103.12,-0.05,0.29
1993.08,20.54,107.49,-0.06,0.30
1993.17,23.72,111.51,-0.07,0.31
1993.25,26.39,115.28,-0.07,0.32
1993.33,26.73,118.83,-0.07,0.33
1993.42,22.28,122.33,-0.06,0.34
1993.50,16.10,125.89,-0.04,0.35
1993.58,7.55,129.47,-0.02,0.36
1993.67,-1.76,132.82,0.00,0.37
1993.75,-13.16,135.83,0.04,0.38
1993.83,-23.30,138.65,0.06,0.39
1993.92,-32.32,141.39,0.09,0.39
1994.00,-42.02,144.12,0.12,0.40
1994.08,-53.99,146.82,0.15,0.41
1994.17,-64.15,149.50,0.18,0.42
1994.25,-74.64,152.08,0.21,0.42
1994.33,-84.44,154.49,0.23,0.43
1994.42,-93.77,156.77,0.26,0.44
1994.50,-103.71,159.20,0.29,0.44
1994.58,-114.14,161.75,0.32,0.45
1994.67,-124.53,164.26,0.35,0.46
1994.75,-136.63,166.69,0.38,0.46
1994.83,-148.57,169.07,0.41,0.47
1994.92,-160.37,171.42,0.45,0.48
1995.00,-171.06,173.78,0.48,0.48
1995.08,-179.83,176.17,0.50,0.49
1995.17,-184.44,178.71,0.51,0.50
1995.25,-188.29,181.23,0.52,0.50
1995.33,-189.60,183.56,0.53,0.51
1995.42,-189.95,185.65,0.53,0.52
1995.50,-190.91,187.87,0.53,0.52
1995.58,-193.38,190.31,0.54,0.53
1995.67,-195.18,192.75,0.54,0.54
1995.75,-197.14,195.12,0.55,0.54
1995.83,-201.12,197.38,0.56,0.55
1995.92,-204.62,199.58,0.57,0.55
1996.00,-208.23,201.73,0.58,0.56
1996.08,-211.58,203.89,0.59,0.57
1996.17,-214.84,206.11,0.60,0.57
1996.25,-215.98,208.31,0.60,0.58
1996.33,-215.79,210.34,0.60,0.58
1996.42,-214.77,212.15,0.60,0.59
1996.50,-214.26,214.07,0.60,0.59
1996.58,-213.54,216.13,0.59,0.60
1996.67,-213.76,218.27,0.59,0.61
1996.75,-218.57,220.35,0.61,0.61
1996.83,-224.61,222.31,0.62,0.62
1996.92,-230.41,224.21,0.64,0.62
1997.00,-237.01,226.12,0.66,0.63
1997.08,-244.09,228.13,0.68,0.63
1997.17,-249.12,230.17,0.69,0.64
1997.25,-251.08,232.15,0.70,0.64
1997.33,-251.42,234.02,0.70,0.65
1997.42,-250.70,235.67,0.70,0.65
1997.50,-251.99,237.52,0.70,0.66
1997.58,-253.32,239.50,0.70,0.67
1997.67,-256.06,241.46,0.71,0.67
1997.75,-260.57,243.36,0.72,0.68
1997.83,-261.80,245.14,0.73,0.68
1997.92,-264.71,246.88,0.74,0.69
1998.00,-269.32,248.58,0.75,0.69
1998.08,-270.49,250.37,0.75,0.70
1998.17,-270.06,252.18,0.75,0.70
1998.25,-270.34,253.98,0.75,0.71
1998.33,-267.45,255.63,0.74,0.71
1998.42,-262.98,257.05,0.73,0.71
1998.50,-259.53,258.54,0.72,0.72
1998.58,-256.92,260.15,0.71,0.72
1998.67,-257.01,261.82,0.71,0.73
1998.75,-260.83,263.46,0.72,0.73
1998.83,-265.94,265.03,0.74,0.74
1998.92,-277.57,266.55,0.77,0.74
1999.00,-291.75,267.98,0.81,0.74
1999.08,-304.05,269.50,0.84,0.75
1999.17,-318.12,271.04,0.88,0.75
