Year,Cumulative ice mass change (Gt),Cumulative ice mass change uncertainty (Gt),Cumulative sea level contribution (mm),Cumulative sea level contribution uncertainty (mm),,,,,,,
1992.00,-2.25,18.76,0.01,0.05,,,,,,,
1992.08,2.92,32.03,-0.01,0.09,,,,,,,
1992.17,11.33,42.87,-0.03,0.12,,,,,,,
1992.25,23.33,52.25,-0.06,0.15,,,,,,,
1992.33,32.42,60.64,-0.09,0.17,,,,,,,
1992.42,42.00,68.30,-0.12,0.19,,,,,,,
1992.50,48.08,75.39,-0.13,0.21,,,,,,,
1992.58,53.58,82.03,-0.15,0.23,,,,,,,
1992.67,59.33,88.28,-0.16,0.25,,,,,,,
1992.75,65.58,94.21,-0.18,0.26,,,,,,,
1992.83,72.08,99.87,-0.20,0.28,,,,,,,
1992.92,74.17,105.29,-0.21,0.29,,,,,,,
1993.00,62.92,110.49,-0.17,0.31,,,,,,,
1993.08,53.08,115.51,-0.15,0.32,,,,,,,
1993.17,47.00,120.35,-0.13,0.33,,,,,,,
1993.25,42.83,125.04,-0.12,0.35,,,,,,,
1993.33,39.08,129.59,-0.11,0.36,,,,,,,
1993.42,34.42,134.02,-0.10,0.37,,,,,,,
1993.50,29.00,138.32,-0.08,0.38,,,,,,,
1993.58,26.33,142.52,-0.07,0.40,,,,,,,
1993.67,20.50,146.61,-0.06,0.41,,,,,,,
1993.75,14.17,150.61,-0.04,0.42,,,,,,,
1993.83,7.50,154.52,-0.02,0.43,,,,,,,
1993.92,-0.08,158.35,0.00,0.44,,,,,,,
1994.00,-12.50,162.11,0.03,0.45,,,,,,,
1994.08,-15.50,165.79,0.04,0.46,,,,,,,
1994.17,-14.17,169.40,0.04,0.47,,,,,,,
1994.25,-14.92,172.94,0.04,0.48,,,,,,,
1994.33,-18.08,176.43,0.05,0.49,,,,,,,
1994.42,-25.50,179.85,0.07,0.50,,,,,,,
1994.50,-34.58,183.22,0.10,0.51,,,,,,,
1994.58,-45.00,186.54,0.13,0.52,,,,,,,
1994.67,-58.75,189.81,0.16,0.53,,,,,,,
1994.75,-72.67,193.03,0.20,0.54,,,,,,,
1994.83,-88.17,196.20,0.24,0.54,,,,,,,
1994.92,-107.92,199.32,0.30,0.55,,,,,,,
1995.00,-138.17,202.41,0.38,0.56,,,,,,,
1995.08,-164.08,205.45,0.46,0.57,,,,,,,
1995.17,-185.33,208.46,0.51,0.58,,,,,,,
1995.25,-208.33,211.42,0.58,0.59,,,,,,,
1995.33,-226.00,214.36,0.63,0.60,,,,,,,
1995.42,-241.75,217.25,0.67,0.60,,,,,,,
1995.50,-254.50,220.11,0.71,0.61,,,,,,,
1995.58,-262.58,222.94,0.73,0.62,,,,,,,
1995.67,-265.08,225.74,0.74,0.63,,,,,,,
1995.75,-266.17,228.50,0.74,0.63,,,,,,,
1995.83,-266.75,231.24,0.74,0.64,,,,,,,
1995.92,-269.25,233.95,0.75,0.65,,,,,,,
1996.00,-273.92,236.63,0.76,0.66,,,,,,,
1996.08,-267.17,239.28,0.74,0.66,,,,,,,
1996.17,-252.92,241.91,0.70,0.67,,,,,,,
1996.25,-240.25,244.51,0.67,0.68,,,,,,,
1996.33,-225.50,247.09,0.63,0.69,,,,,,,
1996.42,-212.33,249.64,0.59,0.69,,,,,,,
1996.50,-199.33,252.17,0.55,0.70,,,,,,,
1996.58,-190.17,254.68,0.53,0.71,,,,,,,
1996.67,-185.17,257.17,0.51,0.71,,,,,,,
1996.75,-182.83,259.63,0.51,0.72,,,,,,,
1996.83,-181.67,262.07,0.50,0.73,,,,,,,
1996.92,-184.25,264.50,0.51,0.73,,,,,,,
1997.00,-190.83,266.90,0.53,0.74,,,,,,,
