Year,Rate of ice sheet mass change (Gt/yr),Rate of ice sheet mass change uncertainty (Gt/yr),Cumulative ice sheet mass change (Gt),Cumulative ice sheet mass change uncertainty (Gt),Rate of mass balance anomaly (Gt/yr),Rate of mass balance anomaly uncertainty (Gt/yr),Cumulative surface mass balance anomaly (Gt),Cumulative surface mass balance anomaly uncertainty (Gt),Rate of ice dynamics anomaly (Gt/yr),Rate of ice dyanamics anomaly uncertainty (Gt/yr),Cumulative ice dynamics anomaly (Gt),Cumulative ice dynamics anomaly uncertainty (Gt)
1980.00,,,,,13,79,1,23,,,,
1980.08,,,,,13,79,2,32,,,,
1980.17,,,,,13,79,3,39,,,,
1980.25,,,,,13,79,4,45,,,,
1980.33,,,,,13,79,5,51,,,,
1980.42,,,,,13,79,6,56,,,,
1980.50,,,,,13,79,7,60,,,,
1980.58,,,,,13,79,8,64,,,,
1980.67,,,,,13,79,10,68,,,,
1980.75,,,,,13,79,11,72,,,,
1980.83,,,,,13,79,12,75,,,,
1980.92,,,,,13,79,13,79,,,,
1981.00,,,,,-96,73,5,81,,,,
1981.08,,,,,-96,73,-3,84,,,,
1981.17,,,,,-96,73,-11,87,,,,
1981.25,,,,,-96,73,-19,89,,,,
1981.33,,,,,-96,73,-27,92,,,,
1981.42,,,,,-96,73,-35,94,,,,
1981.50,,,,,-96,73,-43,96,,,,
1981.58,,,,,-96,73,-51,99,,,,
1981.67,,,,,-96,73,-59,101,,,,
1981.75,,,,,-96,73,-67,103,,,,
1981.83,,,,,-96,73,-75,105,,,,
1981.92,,,,,-96,73,-83,107,,,,
1982.00,,,,,-80,69,-90,109,,,,
1982.08,,,,,-80,69,-97,111,,,,
1982.17,,,,,-80,69,-103,113,,,,
1982.25,,,,,-80,69,-110,115,,,,
1982.33,,,,,-80,69,-117,116,,,,
1982.42,,,,,-80,69,-123,118,,,,
1982.50,,,,,-80,69,-130,120,,,,
1982.58,,,,,-80,69,-137,121,,,,
1982.67,,,,,-80,69,-143,123,,,,
1982.75,,,,,-80,69,-150,125,,,,
1982.83,,,,,-80,69,-157,126,,,,
1982.92,,,,,-80,69,-163,128,,,,
1983.00,,,,,145,80,-151,130,,,,
1983.08,,,,,145,80,-139,132,,,,
1983.17,,,,,145,80,-127,134,,,,
1983.25,,,,,145,80,-115,136,,,,
1983.33,,,,,145,80,-103,138,,,,
1983.42,,,,,145,80,-91,140,,,,
1983.50,,,,,145,80,-79,142,,,,
1983.58,,,,,145,80,-67,143,,,,
1983.67,,,,,145,80,-55,145,,,,
1983.75,,,,,145,80,-43,147,,,,
1983.83,,,,,145,80,-30,149,,,,
1983.92,,,,,145,80,-18,151,,,,
1984.00,,,,,32,78,-16,152,,,,
1984.08,,,,,32,78,-13,154,,,,
1984.17,,,,,32,78,-10,156,,,,
1984.25,,,,,32,78,-8,157,,,,
1984.33,,,,,32,78,-5,159,,,,
1984.42,,,,,32,78,-2,161,,,,
1984.50,,,,,32,78,0,162,,,,
1984.58,,,,,32,78,3,164,,,,
1984.67,,,,,32,78,6,165,,,,
1984.75,,,,,32,78,8,167,,,,
1984.83,,,,,32,78,11,168,,,,
1984.92,,,,,32,78,14,170,,,,
1985.00,,,,,-25,77,12,171,,,,
1985.08,,,,,-25,77,10,173,,,,
1985.17,,,,,-25,77,7,174,,,,
1985.25,,,,,-25,77,5,176,,,,
1985.33,,,,,-25,77,3,177,,,,
1985.42,,,,,-25,77,1,178,,,,
1985.50,,,,,-25,77,-1,180,,,,
1985.58,,,,,-25,77,-3,181,,,,
1985.67,,,,,-25,77,-5,183,,,,
1985.75,,,,,-25,77,-7,184,,,,
1985.83,,,,,-25,77,-9,185,,,,
1985.92,,,,,-25,77,-11,187,,,,
1986.00,,,,,67,77,-6,188,,,,
1986.08,,,,,67,77,0,189,,,,
1986.17,,,,,67,77,5,190,,,,
1986.25,,,,,67,77,11,192,,,,
1986.33,,,,,67,77,17,193,,,,
1986.42,,,,,67,77,22,194,,,,
1986.50,,,,,67,77,28,196,,,,
1986.58,,,,,67,77,33,197,,,,
1986.67,,,,,67,77,39,198,,,,
1986.75,,,,,67,77,44,199,,,,
1986.83,,,,,67,77,50,201,,,,
1986.92,,,,,67,77,56,202,,,,
1987.00,,,,,57,85,60,203,,,,
1987.08,,,,,57,85,65,205,,,,
1987.17,,,,,57,85,70,206,,,,
1987.25,,,,,57,85,75,208,,,,
1987.33,,,,,57,85,79,209,,,,
1987.42,,,,,57,85,84,211,,,,
1987.50,,,,,57,85,89,212,,,,
1987.58,,,,,57,85,94,213,,,,
1987.67,,,,,57,85,98,215,,,,
1987.75,,,,,57,85,103,216,,,,
1987.83,,,,,57,85,108,218,,,,
1987.92,,,,,57,85,113,219,,,,
1988.00,,,,,-24,77,111,220,,,,
1988.08,,,,,-24,77,109,221,,,,
1988.17,,,,,-24,77,107,222,,,,
1988.25,,,,,-24,77,105,224,,,,
1988.33,,,,,-24,77,103,225,,,,
1988.42,,,,,-24,77,101,226,,,,
1988.50,,,,,-24,77,99,227,,,,
1988.58,,,,,-24,77,97,228,,,,
1988.67,,,,,-24,77,95,229,,,,
1988.75,,,,,-24,77,93,230,,,,
1988.83,,,,,-24,77,91,231,,,,
1988.92,,,,,-24,77,89,232,,,,
1989.00,,,,,-91,71,82,233,,,,
1989.08,,,,,-91,71,74,234,,,,
1989.17,,,,,-91,71,66,235,,,,
1989.25,,,,,-91,71,59,236,,,,
1989.33,,,,,-91,71,51,237,,,,
1989.42,,,,,-91,71,44,238,,,,
1989.50,,,,,-91,71,36,239,,,,
1989.58,,,,,-91,71,28,239,,,,
1989.67,,,,,-91,71,21,240,,,,
1989.75,,,,,-91,71,13,241,,,,
1989.83,,,,,-91,71,5,242,,,,
1989.92,,,,,-91,71,-2,243,,,,
1990.00,,,,,-43,77,-6,244,,,,
1990.08,,,,,-43,77,-9,245,,,,
1990.17,,,,,-43,77,-13,246,,,,
1990.25,,,,,-43,77,-16,247,,,,
1990.33,,,,,-43,77,-20,248,,,,
1990.42,,,,,-43,77,-24,249,,,,
1990.50,,,,,-43,77,-27,250,,,,
1990.58,,,,,-43,77,-31,251,,,,
1990.67,,,,,-43,77,-34,252,,,,
1990.75,,,,,-43,77,-38,253,,,,
1990.83,,,,,-43,77,-41,254,,,,
1990.92,,,,,-43,77,-45,255,,,,
1991.00,,,,,17,81,-44,256,,,,
1991.08,,,,,17,81,-42,257,,,,
1991.17,,,,,17,81,-41,258,,,,
1991.25,,,,,17,81,-39,259,,,,
1991.33,,,,,17,81,-38,260,,,,
1991.42,,,,,17,81,-37,261,,,,
1991.50,,,,,17,81,-35,262,,,,
1991.58,,,,,17,81,-34,263,,,,
1991.67,,,,,17,81,-33,264,,,,
1991.75,,,,,17,81,-31,265,,,,
1991.83,,,,,17,81,-30,266,,,,
1991.92,,,,,17,81,-28,267,,,,
1992.00,79,56,7,16,141,82,-17,269,-62,99,-5,29
1992.08,79,56,13,23,141,82,-5,270,-62,99,-10,41
1992.17,79,56,20,28,141,82,7,271,-62,99,-15,50
1992.25,79,56,26,33,141,82,19,272,-62,99,-21,57
1992.33,79,56,33,36,141,82,30,273,-62,99,-26,64
1992.42,79,56,40,40,141,82,42,274,-62,99,-31,70
1992.50,79,56,46,43,141,82,54,275,-62,99,-36,76
1992.58,79,56,53,46,141,82,66,276,-62,99,-41,81
1992.67,79,56,59,49,141,82,77,277,-62,99,-46,86
1992.75,79,56,66,51,141,82,89,278,-62,99,-52,91
1992.83,79,56,73,54,141,82,101,279,-62,99,-57,95
1992.92,79,56,79,56,141,82,113,280,-62,99,-62,99
1993.00,-76,57,73,59,-4,79,112,281,-71,97,-68,103
1993.08,-76,57,67,61,-4,79,112,282,-71,97,-74,107
1993.17,-76,57,60,63,-4,79,112,283,-71,97,-80,111
1993.25,-76,57,54,65,-4,79,111,283,-71,97,-86,114
1993.33,-76,57,48,67,-4,79,111,284,-71,97,-92,118
1993.42,-76,57,41,69,-4,79,111,285,-71,97,-97,121
1993.50,-76,57,35,71,-4,79,110,286,-71,97,-103,124
1993.58,-76,57,29,73,-4,79,110,287,-71,97,-109,127
1993.67,-76,57,23,75,-4,79,109,288,-71,97,-115,130
1993.75,-76,57,16,76,-4,79,109,289,-71,97,-121,133
1993.83,-76,57,10,78,-4,79,109,290,-71,97,-127,136
1993.92,-76,57,4,80,-4,79,108,291,-71,97,-133,139
1994.00,-77,57,-3,81,-42,72,105,291,-35,92,-136,141
1994.08,-77,57,-9,83,-42,72,101,292,-35,92,-139,144
1994.17,-77,57,-16,85,-42,72,98,293,-35,92,-142,146
1994.25,-77,57,-22,86,-42,72,94,294,-35,92,-145,149
1994.33,-77,57,-28,88,-42,72,91,294,-35,92,-147,151
1994.42,-77,57,-35,89,-42,72,87,295,-35,92,-150,153
1994.50,-77,57,-41,91,-42,72,84,296,-35,92,-153,156
1994.58,-77,57,-48,92,-42,72,80,297,-35,92,-156,158
1994.67,-77,57,-54,94,-42,72,77,297,-35,92,-159,160
1994.75,-77,57,-60,95,-42,72,73,298,-35,92,-162,162
1994.83,-77,57,-67,96,-42,72,70,299,-35,92,-165,164
1994.92,-77,57,-73,98,-42,72,66,300,-35,92,-168,167
1995.00,-167,56,-87,99,-133,72,55,300,-33,91,-170,169
1995.08,-167,56,-101,100,-133,72,44,301,-33,91,-173,171
1995.17,-167,56,-115,102,-133,72,33,302,-33,91,-176,173
1995.25,-167,56,-129,103,-133,72,22,302,-33,91,-179,175
1995.33,-167,56,-142,104,-133,72,11,303,-33,91,-181,177
1995.42,-167,56,-156,106,-133,72,0,304,-33,91,-184,179
1995.50,-167,56,-170,107,-133,72,-12,305,-33,91,-187,181
1995.58,-167,56,-184,108,-133,72,-23,305,-33,91,-190,182
1995.67,-167,56,-198,109,-133,72,-34,306,-33,91,-193,184
1995.75,-167,56,-212,111,-133,72,-45,307,-33,91,-195,186
1995.83,-167,56,-226,112,-133,72,-56,307,-33,91,-198,188
1995.92,-129,77,-236,114,-133,72,-67,308,4,105,-198,191
1996.00,67,77,-231,116,166,85,-53,309,-100,114,-206,193
1996.08,67,77,-225,118,166,85,-39,310,-100,114,-214,196
1996.17,67,77,-220,120,166,85,-25,311,-100,114,-223,199
1996.25,67,77,-214,122,166,85,-12,312,-100,114,-231,202
1996.33,67,77,-209,124,166,85,2,313,-100,114,-239,204
1996.42,67,77,-203,126,166,85,16,314,-100,114,-248,207
1996.50,145,76,-191,128,166,85,30,315,-22,114,-249,210
1996.58,145,76,-179,130,166,85,44,316,-22,114,-251,212
1996.67,145,76,-167,132,166,85,58,317,-22,114,-253,215
1996.75,145,76,-155,134,166,85,72,318,-22,114,-255,217
1996.83,145,76,-143,135,166,85,86,319,-22,114,-257,220
1996.92,145,76,-131,137,166,85,99,319,-22,114,-258,222
1997.00,58,76,-126,139,62,80,105,320,-5,111,-259,224
1997.08,58,76,-121,141,62,80,110,321,-5,111,-259,227
1997.17,58,76,-116,142,62,80,115,322,-5,111,-260,229
1997.25,58,76,-111,144,62,80,120,323,-5,111,-260,231
1997.33,58,76,-107,146,62,80,125,324,-5,111,-261,233
1997.42,58,76,-102,147,62,80,131,324,-5,111,-261,236
1997.50,10,78,-101,149,62,80,136,325,-52,112,-265,238
1997.58,10,78,-100,151,62,80,141,326,-52,112,-270,240
1997.67,10,78,-99,153,62,80,146,327,-52,112,-274,242
1997.75,10,78,-99,154,62,80,152,328,-52,112,-278,244
1997.83,10,78,-98,156,62,80,157,329,-52,112,-283,246
1997.92,10,78,-97,157,62,80,162,329,-52,112,-287,249
1998.00,-128,78,-108,159,-116,77,152,330,-13,110,-288,251
1998.08,-128,78,-118,161,-116,77,143,331,-13,110,-289,253
1998.17,-128,78,-129,162,-116,77,133,332,-13,110,-290,255
1998.25,-128,78,-140,164,-116,77,123,332,-13,110,-291,257
1998.33,-128,78,-150,165,-116,77,114,333,-13,110,-292,258
1998.42,-128,78,-161,167,-116,77,104,334,-13,110,-294,260
1998.50,-169,82,-175,169,-116,77,94,335,-53,113,-298,262
1998.58,-169,82,-189,170,-116,77,85,335,-53,113,-302,264
1998.67,-169,82,-203,172,-116,77,75,336,-53,113,-307,266
1998.75,-169,82,-217,173,-116,77,66,337,-53,113,-311,268
1998.83,-169,82,-231,175,-116,77,56,338,-53,113,-316,270
1998.92,-169,82,-245,177,-116,77,46,338,-53,113,-320,272
1999.00,-51,82,-250,178,16,82,48,339,-67,116,-326,274
1999.08,-51,82,-254,180,16,82,49,340,-67,116,-331,276
1999.17,-51,82,-258,181,16,82,50,341,-67,116,-337,278
1999.25,-51,82,-262,183,16,82,52,342,-67,116,-343,280
1999.33,-51,82,-267,184,16,82,53,342,-67,116,-348,282
1999.42,-51,82,-271,186,16,82,54,343,-67,116,-354,284
1999.50,-5,77,-271,187,16,82,56,344,-22,112,-356,286
1999.58,-5,77,-272,188,16,82,57,345,-22,112,-357,288
1999.67,-5,77,-272,190,16,82,59,346,-22,112,-359,290
1999.75,-5,77,-273,191,16,82,60,347,-22,112,-361,292
1999.83,-5,77,-273,192,16,82,61,347,-22,112,-363,293
1999.92,-5,77,-274,194,16,82,63,348,-22,112,-365,295
2000.00,-18,77,-275,195,1,80,63,349,-19,111,-366,297
2000.08,-18,77,-277,196,1,80,63,350,-19,111,-368,299
2000.17,-18,77,-278,197,1,80,63,350,-19,111,-369,300
2000.25,-18,77,-280,199,1,80,63,351,-19,111,-371,302
2000.33,-18,77,-281,200,1,80,63,352,-19,111,-373,304
2000.42,-18,77,-282,201,1,80,63,353,-19,111,-374,305
2000.50,-51,79,-287,202,1,80,63,353,-52,112,-378,307
2000.58,-51,79,-291,204,1,80,63,354,-52,112,-383,309
2000.67,-51,79,-295,205,1,80,64,355,-52,112,-387,311
2000.75,-51,79,-299,206,1,80,64,356,-52,112,-391,312
2000.83,-51,79,-304,207,1,80,64,356,-52,112,-396,314
2000.92,-51,79,-308,209,1,80,64,357,-52,112,-400,316
2001.00,-54,79,-312,210,-38,80,61,358,-15,112,-401,317
2001.08,-54,79,-317,211,-38,80,57,359,-15,112,-403,319
2001.17,-54,79,-321,212,-38,80,54,359,-15,112,-404,321
2001.25,-54,79,-326,214,-38,80,51,360,-15,112,-405,322
2001.33,-54,79,-330,215,-38,80,48,361,-15,112,-406,324
2001.42,-54,79,-335,216,-38,80,45,362,-15,112,-408,325
2001.50,-33,79,-337,217,-38,80,42,362,6,112,-407,327
2001.58,-33,79,-340,218,-38,80,38,363,6,112,-407,329
2001.67,-33,79,-343,220,-38,80,35,364,6,112,-406,330
2001.75,-33,79,-345,221,-38,80,32,365,6,112,-406,332
2001.83,-33,79,-348,222,-38,80,29,365,6,112,-405,333
2001.92,-33,79,-351,223,-38,80,26,366,6,112,-405,335
2002.00,-114,79,-360,224,-52,77,21,367,-62,110,-410,336
2002.08,-114,79,-370,225,-52,77,17,367,-62,110,-415,338
2002.17,-114,79,-379,227,-52,77,13,368,-62,110,-420,339
2002.25,-114,79,-389,228,-52,77,9,369,-62,110,-426,341
2002.33,-114,79,-398,229,-52,77,4,369,-62,110,-431,342
2002.42,-114,79,-408,230,-52,77,0,370,-62,110,-436,344
2002.50,-147,82,-420,231,-52,77,-4,371,-96,113,-444,345
2002.58,-120,69,-430,232,-52,77,-9,371,-69,103,-450,347
2002.67,-120,69,-440,233,-52,77,-13,372,-69,103,-456,348
2002.75,-120,69,-450,234,-52,77,-17,373,-69,103,-461,349
2002.83,-120,69,-460,235,-52,77,-22,373,-69,103,-467,350
2002.92,-120,69,-470,235,-52,77,-26,374,-69,103,-473,352
2003.00,-153,60,-483,236,-43,89,-29,375,-111,107,-482,353
2003.08,-153,60,-496,237,-43,89,-33,376,-111,107,-491,354
2003.17,-153,60,-509,237,-43,89,-36,377,-111,107,-500,356
2003.25,-157,60,-522,238,-43,89,-40,377,-115,107,-510,357
2003.33,-157,60,-535,239,-43,89,-44,378,-115,107,-520,358
2003.42,-157,60,-548,239,-43,89,-47,379,-115,107,-529,360
2003.50,-158,62,-561,240,-43,89,-51,380,-116,108,-539,361
2003.58,-158,62,-574,241,-43,89,-54,381,-116,108,-548,362
2003.67,-183,68,-590,241,-43,89,-58,382,-140,112,-560,364
2003.75,-183,68,-605,242,-43,89,-61,383,-140,112,-572,365
2003.83,-183,68,-620,243,-43,89,-65,383,-140,112,-583,367
2003.92,-183,68,-635,244,-43,89,-68,384,-140,112,-595,368
2004.00,-184,68,-651,244,-59,78,-73,385,-125,103,-606,369
2004.08,-184,68,-666,245,-59,78,-78,386,-125,103,-616,370
2004.17,-184,68,-681,246,-59,78,-83,386,-125,103,-626,372
2004.25,-184,68,-697,247,-59,78,-88,387,-125,103,-637,373
2004.33,-184,68,-712,248,-59,78,-93,388,-125,103,-647,374
2004.42,-184,68,-727,248,-59,78,-98,388,-125,103,-658,375
2004.50,-186,64,-743,249,-59,78,-103,389,-127,101,-668,376
2004.58,-186,64,-758,250,-59,78,-108,390,-127,101,-679,378
2004.67,-186,64,-774,250,-59,78,-113,390,-127,101,-689,379
2004.75,-186,64,-789,251,-59,78,-118,391,-127,101,-700,380
2004.83,-186,64,-805,252,-59,78,-122,391,-127,101,-711,381
2004.92,-186,64,-820,252,-59,78,-127,392,-127,101,-721,382
2005.00,-184,64,-835,253,-80,84,-134,393,-103,105,-730,383
2005.08,-184,64,-851,254,-80,84,-141,394,-103,105,-738,384
2005.17,-184,64,-866,254,-80,84,-148,394,-103,105,-747,386
2005.25,-184,64,-881,255,-80,84,-154,395,-103,105,-756,387
2005.33,-184,64,-897,256,-80,84,-161,396,-103,105,-764,388
